prompt_id,prompt_type,N,mean_D1,mean_D2,mean_D3,p_peak_D1,p_peak_D2,p_peak_D3,P_omega,C_disp,C_norm,C_peak,C_region,C_weak,J_stable,rank,main_problem,second_problem,suggested_revision_direction
Condition 3,Task-component prompt,500,0.8516,0.998,0.982,1.0,1.0,1.0,0.722,0.1088,0.0936,0.0,0.278,0.0,0.0977,1,C_region: Too few responses enter the high-quality region,C_disp: Responses are too dispersed,Add minimum answer requirements
Condition 7,Demonstration prompt,500,0.7672,1.0,0.9848,0.8,1.0,1.0,0.65,0.0903,0.1395,0.1155,0.35,0.0109,0.1387,2,C_region: Too few responses enter the high-quality region,C_norm: Responses are not close enough to full-score target,Add minimum answer requirements
Condition 4,Reasoning scaffold prompt,500,0.9132,0.9996,0.8156,1.0,1.0,1.0,0.522,0.1438,0.1402,0.0,0.478,0.0,0.1499,3,C_region: Too few responses enter the high-quality region,C_disp: Responses are too dispersed,Add minimum answer requirements
Condition 2,Role prompt,500,0.8136,0.9868,0.7944,0.8,1.0,1.0,0.642,0.158,0.1909,0.1155,0.358,0.0019,0.1721,4,C_region: Too few responses enter the high-quality region,C_norm: Responses are not close enough to full-score target,Add minimum answer requirements
Condition 1,Baseline open prompt,500,0.7284,0.9944,0.708,0.6,1.0,0.8,0.262,0.1675,0.2585,0.2582,0.738,0.0545,0.2827,5,C_region: Too few responses enter the high-quality region,C_norm: Responses are not close enough to full-score target,Add minimum answer requirements
Condition 5,Knowledge-grounded prompt (RAG),500,0.4784,1.0,0.9876,0.4,1.0,1.0,0.18,0.0991,0.3031,0.3464,0.82,0.1072,0.3085,6,C_region: Too few responses enter the high-quality region,C_peak: Most frequent response type is not ideal,Add minimum answer requirements
Condition 6,Self-checking prompt,500,0.3928,0.9604,0.9992,0.4,1.0,1.0,0.02,0.1091,0.357,0.3464,0.98,0.1357,0.3518,7,C_region: Too few responses enter the high-quality region,C_norm: Responses are not close enough to full-score target,Add minimum answer requirements
