prompt_id,prompt_type,N,mean_D1,mean_D2,mean_D3,p_peak_D1,p_peak_D2,p_peak_D3,P_omega,C_norm,C_peak,C_region,C_weak,C_disp,J_total,rank,main_problem,suggested_revision_direction,weakest_dimension
Condition 7,Demonstration prompt,500,0.7672,1.0,0.9848,0.8,1.0,1.0,0.65,0.0669,0.0,0.35,0.0109,0.0731,0.099,1,C_region: Too few responses enter the normative region,Set minimum required explanation components,D1
Condition 3,Task-component prompt,500,0.8516,0.998,0.982,1.0,1.0,1.0,0.722,0.0983,0.1155,0.278,0.0,0.097,0.1237,2,C_region: Too few responses enter the normative region,Set minimum required explanation components,D1
Condition 2,Role prompt,500,0.8136,0.9868,0.7944,0.8,1.0,1.0,0.642,0.1346,0.0,0.358,0.0019,0.1319,0.1255,3,C_region: Too few responses enter the normative region,Set minimum required explanation components,D3
Condition 4,Reasoning scaffold prompt,500,0.9132,0.9996,0.8156,1.0,1.0,1.0,0.522,0.1696,0.1155,0.478,0.0,0.1364,0.189,4,C_region: Too few responses enter the normative region,Set minimum required explanation components,D3
Condition 1,Baseline open prompt,500,0.7284,0.9944,0.708,0.6,1.0,0.8,0.262,0.206,0.1633,0.738,0.0545,0.1506,0.2735,5,C_region: Too few responses enter the normative region,Set minimum required explanation components,D3
Condition 5,Knowledge-grounded prompt (RAG),500,0.4784,1.0,0.9876,0.4,1.0,1.0,0.18,0.1905,0.2309,0.82,0.1072,0.0796,0.3029,6,C_region: Too few responses enter the normative region,Set minimum required explanation components,D1
Condition 6,Self-checking prompt,500,0.3928,0.9604,0.9992,0.4,1.0,1.0,0.02,0.2439,0.2309,0.98,0.1357,0.0878,0.3561,7,C_region: Too few responses enter the normative region,Set minimum required explanation components,D1
